               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.024624,            0.011663,            0.015399,             0.33727,             0.42582,             0.39963,             0.29796,            0.033631,           0.0057306,            0.065369,           0.0086833,           0.0086833,           0.0086833
                 135,            0.026304,            0.011789,            0.013467,             0.39947,             0.54782,              0.4605,              0.3519,            0.037587,           0.0057497,            0.058543,           0.0086734,           0.0086734,           0.0086734
                 136,            0.027183,            0.011411,            0.017215,             0.42173,             0.46419,             0.43727,             0.32913,            0.040136,           0.0062366,            0.064589,           0.0086635,           0.0086635,           0.0086635
                 137,            0.025671,            0.010699,            0.014888,             0.45155,             0.39143,              0.3834,             0.28807,            0.040852,            0.006238,            0.062762,           0.0086536,           0.0086536,           0.0086536
                 138,            0.027682,            0.012571,            0.016221,             0.36908,             0.42768,              0.4119,             0.31825,            0.037237,           0.0057399,            0.053459,           0.0086437,           0.0086437,           0.0086437
                 139,            0.033236,            0.010363,             0.01394,             0.53575,             0.39795,             0.46214,             0.35032,            0.035545,           0.0056863,            0.047552,           0.0086338,           0.0086338,           0.0086338
                 140,             0.02588,            0.011404,            0.015819,             0.44794,             0.49625,             0.49402,             0.37506,            0.038435,           0.0055161,            0.049892,           0.0086239,           0.0086239,           0.0086239
                 141,            0.026121,            0.011314,            0.017536,             0.36829,             0.49284,             0.45307,             0.34905,            0.036141,           0.0057719,            0.063542,            0.008614,            0.008614,            0.008614
                 142,            0.025238,            0.011849,            0.013989,              0.5363,             0.44481,             0.49134,             0.38794,            0.037332,           0.0057633,            0.060883,           0.0086041,           0.0086041,           0.0086041
                 143,            0.027977,            0.012289,            0.013527,             0.36115,             0.47579,             0.42811,             0.32164,            0.036347,           0.0061846,            0.063019,           0.0085942,           0.0085942,           0.0085942
                 144,            0.029139,            0.010479,            0.014032,             0.38966,              0.4953,             0.43726,             0.32875,            0.035674,           0.0058713,            0.053246,           0.0085843,           0.0085843,           0.0085843
                 145,            0.025598,            0.011023,            0.016512,             0.42301,             0.41104,             0.41633,              0.3075,             0.03699,           0.0059576,            0.061555,           0.0085744,           0.0085744,           0.0085744
                 146,            0.025771,            0.010813,            0.017621,             0.33302,             0.37871,             0.32632,             0.24121,            0.039315,           0.0057611,            0.062325,           0.0085645,           0.0085645,           0.0085645
                 147,            0.025283,            0.012016,            0.012787,             0.38991,             0.41071,              0.3638,             0.28204,            0.035932,            0.005682,            0.053342,           0.0085546,           0.0085546,           0.0085546
                 148,            0.024531,             0.01103,            0.016485,             0.46742,              0.3765,             0.42502,             0.31921,             0.03668,           0.0058093,            0.043622,           0.0085447,           0.0085447,           0.0085447
                 149,            0.024571,            0.012446,            0.019006,             0.64216,             0.30476,             0.35799,              0.2676,            0.042768,           0.0055277,            0.057609,           0.0085348,           0.0085348,           0.0085348
                 150,            0.024218,            0.011394,            0.014731,             0.55206,             0.37114,             0.38907,             0.26617,            0.042009,           0.0058033,            0.055782,           0.0085249,           0.0085249,           0.0085249
                 151,            0.029095,            0.012578,             0.02047,             0.41921,             0.36249,             0.40035,             0.27308,            0.037639,           0.0054822,            0.050757,            0.008515,            0.008515,            0.008515
                 152,            0.027661,            0.011028,            0.021324,             0.43937,             0.37374,             0.39657,             0.29528,            0.036535,           0.0055561,            0.051077,           0.0085051,           0.0085051,           0.0085051
                 153,               0.025,            0.011984,            0.014398,             0.39225,             0.33571,             0.36235,             0.24348,            0.035964,           0.0058599,             0.05716,           0.0084952,           0.0084952,           0.0084952
                 154,            0.025792,            0.012952,            0.019887,             0.29932,             0.38393,             0.35266,             0.26334,            0.034094,           0.0064378,            0.057571,           0.0084853,           0.0084853,           0.0084853
