                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     53,               0.035096,               0.015613,               0.012638,               0.050918,               0.087418,                0.72619,                0.12937,               0.080163,               0.096356,                 0.5848,                0.13237,               0.082091,               0.059285,               0.035326,               0.006038,               0.048396,              0.0094852,              0.0094852,              0.0094852
                     54,               0.036855,               0.020781,               0.015514,                0.04979,                0.15383,                0.61467,                0.24625,                0.16073,                0.15206,                0.62657,                0.24059,                0.16526,                0.05187,               0.029386,              0.0054781,               0.044396,              0.0094753,              0.0094753,              0.0094753
                     55,                0.03602,               0.020094,               0.013896,               0.049679,                0.13176,                0.63671,                0.21932,                0.10866,                0.13139,                0.62242,                0.21835,                0.13631,                0.05409,               0.025933,                0.00597,               0.043552,              0.0094654,              0.0094654,              0.0094654
                     56,               0.037692,               0.023704,               0.014557,               0.048057,                0.14315,                0.55628,                0.20158,               0.092025,                0.14315,                0.55628,                0.20862,                0.12851,               0.052024,               0.022698,              0.0068812,               0.044642,              0.0094555,              0.0094555,              0.0094555
                     57,               0.036133,               0.017099,               0.012523,               0.049513,                0.13944,                0.59758,                0.20885,                0.11158,                0.14407,                0.54963,                0.21718,                0.13707,               0.053728,               0.023629,              0.0056973,                0.04783,              0.0094456,              0.0094456,              0.0094456
                     58,               0.034285,               0.017609,               0.013332,               0.049622,                0.15199,                0.56773,                0.22602,                0.13699,                0.15385,                0.58248,                 0.2283,                0.15032,               0.049557,               0.026018,              0.0058393,               0.046912,              0.0094357,              0.0094357,              0.0094357
                     59,               0.036018,               0.018866,               0.013427,               0.048179,                0.16526,                0.58525,                0.21004,                0.11534,                0.16526,                0.58525,                 0.2125,                 0.1336,               0.049414,               0.028351,              0.0061145,               0.050105,              0.0094258,              0.0094258,              0.0094258
                     60,               0.035865,               0.020495,               0.013431,               0.047926,                0.16357,                0.61029,                0.22214,                0.12386,                0.16609,                0.62219,                0.22261,                 0.1361,               0.042993,               0.028564,              0.0065126,               0.044316,              0.0094159,              0.0094159,              0.0094159
                     61,               0.038215,               0.025589,               0.014037,               0.047845,                0.19031,                0.69095,                0.26193,                0.15868,                0.18969,                0.68261,                0.25938,                0.17721,               0.044863,               0.027245,              0.0056679,               0.048642,               0.009406,               0.009406,               0.009406
                     62,               0.038122,               0.023235,               0.013918,                0.04849,                0.17862,                0.68789,                0.25843,                0.14527,                0.17743,                0.67391,                0.25492,                0.18048,               0.039277,               0.022603,              0.0061908,               0.047392,              0.0093961,              0.0093961,              0.0093961
                     63,               0.037994,               0.018141,               0.012034,               0.046998,                0.18045,                0.66152,                0.25585,                0.15794,                0.17946,                0.64397,                0.25411,                0.18659,               0.042728,               0.022777,              0.0060315,               0.049059,              0.0093862,              0.0093862,              0.0093862
                     64,               0.035066,               0.022399,                0.01434,               0.047812,                0.17722,                0.58333,                0.24698,                0.14862,                0.17722,                0.58333,                0.24545,                0.17804,               0.042985,               0.024022,              0.0063376,               0.049464,              0.0093763,              0.0093763,              0.0093763
